Item,Quantity,Price,Shipping Cost/Taxes,Source
M3x5mx4mm heatset inserts,4,$2.72,$0.24,https://www.ebay.com/itm/298286091923?chn=ps&var=595256920947
Seeedxiao RP2040 Microcontroller,1,$3.99,$6.20,https://www.seeedstudio.com/XIAO-RP2040-v1-0-p-5026.html
MX-Style Switches,11,$0.00,$0.00,Extras from Hackpad Kit
M3x16mm SHCS Bolt,4,$0.00,$0.00,Extras from Hackpad Kit
White blank DSA keycaps,11,$0.00,$0.00,Extras from Hackpad Kit
PCB,1,$8.50,$49.82,JLCPCB
3D Printed Case,2,$0.00,$0.00,Printing Legion
,,,,
,,Total,GRAND TOTAL,
,,$15.21,$71.47,
